Order,Family,Genus,Current_Identification,Mass,FL_Breast,DL_Breast,PL_Breast,PDL_Breast,PPL_Breast,AD_Breast,AP_Breast,AT_Breast,PAD_Breast,PAP_Breast,FL_Back,DL_Back,PL_Back,PDL_Back,PPL_Back,AD_Back,AP_Back,AT_Back,PAD_Back,PAP_Back,FL_Head,DL_Head,PL_Head,PDL_Head,PPL_Head,AD_Head,AP_Head,AT_Head,PAD_Head,PAP_Head,Country/Continent/Ocean,State/Province,Precise_Location,Station,Longitude,Latitude,Temperature,Rainfall,Museum,Notes,Feather
Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus nigricapillus,22,26.847,12.025,14.822,0.447908519,0.552091481,221.156,170.934,392.09,0.564043969,0.435956031,29.472,14.651,14.821,0.497115907,0.502884093,346.176,255.164,601.34,0.575674327,0.424325673,17.162,3.33,13.832,0.194033329,0.805966671,38.325,134.132,172.457,0.222229309,0.777770691,Colombia,,,,-75.1872222,5.8886667,21.1,3637,IAvH,,"Breast, back and head"
Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus longirostris,38,37.892,19.026,18.866,0.502111264,0.497888736,722.708,214.724,937.432,0.770944453,0.229055547,55.959,23.053,32.906,0.41196233,0.58803767,1082.522,563.514,1646.036,0.657653903,0.342346097,26.607,10.311,16.296,0.387529597,0.612470403,191.714,168.834,360.548,0.531729478,0.468270522,Colombia,Colombia,,,-74.35235,6.71768,17.3,2264,UniAndes,,"Breast, back and head"
Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus maculicaudus,30,39.938,19.091,20.847,0.478015925,0.521984075,687.216,215.42,902.636,0.761343443,0.238656557,33.058,10.634,22.424,0.321677052,0.678322948,347.58,243.53,591.11,0.588012383,0.411987617,30.692,12.787,17.905,0.416623224,0.583376776,436.938,145.696,582.634,0.749935637,0.250064363,Colombia,Colombia,,,-74.13454,6.71725,26.4,2631,UniAndes,,"Breast, back and head"
Cathartiformes,Cathartidae,Cathartes,Cathartes burrovianus,850,41.471,11.616,29.855,0.280099347,0.719900653,331.131,879.876,1211.007,0.273434423,0.726565577,54.251,16.198,38.053,0.298575141,0.701424859,655.336,1215.069,1870.405,0.350371176,0.649628824,,,0,,,,,0,,,Colombia,,,,-72.25,-0.6333,26.6,2933,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus minimus,33,60.05,35.683,24.367,0.594221482,0.405778518,1385.773,409.546,1795.319,0.771881209,0.228118791,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,B717,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus minimus,33,41.606,22.781,18.825,0.54754122,0.45245878,667.384,326.149,993.533,0.671728065,0.328271935,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,,
Passeriformes,Turdidae,Catharus,Catharus minimus,33,38.907,20.846,18.061,0.535790475,0.464209525,559.53,259.373,818.903,0.683267737,0.316732263,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,,
Passeriformes,Turdidae,Catharus,Catharus minimus,33,52.033,29.237,22.796,0.561893414,0.438106586,828.836,349.885,1178.721,0.70316555,0.29683445,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,,
Passeriformes,Turdidae,Catharus,Catharus minimus,33,35.96,19.294,16.666,0.536540601,0.463459399,411.779,212.153,623.932,0.659974164,0.340025836,41.262,18.822,22.44,0.456158209,0.543841791,615.861,370.801,986.662,0.624186398,0.375813602,24.664,9.073,15.591,0.367864093,0.632135907,139.559,140.627,280.186,0.498094123,0.501905877,Colombia,,,,-73.2222222,6.1052778,18.4,2903,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus minimus,33,32.55,16.962,15.588,0.521105991,0.478894009,387.559,216.063,603.622,0.64205579,0.35794421,34.847,20.074,14.773,0.576061067,0.423938933,409.878,216.809,626.687,0.654039417,0.345960583,24.163,11.053,13.11,0.457434921,0.542565079,141.235,113.588,254.823,0.554247458,0.445752542,Colombia,,,,-68.1975,4.5588889,27.8,2929,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus minimus,33,38.462,20.65,17.812,0.536893557,0.463106443,426.224,287.461,713.685,0.597215859,0.402784141,34.167,17.316,16.851,0.506804812,0.493195188,378.499,199.574,578.073,0.654759866,0.345240134,22.013,9.954,12.059,0.452187344,0.547812656,172.372,91.41,263.782,0.653463845,0.346536155,Colombia,,,,-75.3501667,9.5361667,26.4,1351,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus minimus,33,36.029,18.735,17.294,0.51999778,0.48000222,396.094,321.206,717.3,0.55220131,0.44779869,36.942,22.379,14.563,0.605787451,0.394212549,580.381,228.954,809.335,0.71710849,0.28289151,18.522,6.668,11.854,0.360004319,0.639995681,75.646,104.289,179.935,0.420407369,0.579592631,Colombia,,,,-73.4440556,4.5156667,21.8,5015,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus ustulatus,28,62.711,30.593,32.118,0.487841049,0.512158951,1015.935,753.462,1769.397,0.574170183,0.425829817,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,C575,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus ustulatus,28,43.718,20.634,23.084,0.471979505,0.528020495,696.895,355.163,1052.058,0.662411198,0.337588802,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,,
Passeriformes,Turdidae,Catharus,Catharus ustulatus,28,36.967,17.659,19.308,0.477696324,0.522303676,330.712,241.385,572.097,0.578069803,0.421930197,34.637,19.5,15.137,0.562981782,0.437018218,414.979,240.036,655.015,0.633541217,0.366458783,22.9,10.322,12.578,0.450742358,0.549257642,163.804,137.205,301.009,0.544183064,0.455816936,Colombia,,,,-73.4440556,4.5156667,21.8,5015,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus fuscater,30,27.543,12.582,14.961,0.456812983,0.543187017,180.232,131.487,311.719,0.578187406,0.421812594,36.255,23.779,12.476,0.655881947,0.344118053,557.718,167.882,725.6,0.768630099,0.231369901,13.042,2.912,10.13,0.223278638,0.776721362,29.536,73.652,103.188,0.286234834,0.713765166,Colombia,,,,-73.4386111,4.5925,18.7,4020,IAvH,,"Breast, back and head"
Passeriformes,Turdidae,Catharus,Catharus fuscater,30,21.181,8.184,12.997,0.386384023,0.613615977,126.868,119.856,246.724,0.514210211,0.485789789,33.542,20.283,13.259,0.60470455,0.39529545,487.11,238.978,726.088,0.670869096,0.329130904,20.971,8.494,12.477,0.405035525,0.594964475,118.976,116.055,235.031,0.506214074,0.493785926,Colombia,,,,-73.4386111,4.5925,18.7,4020,IAvH,,"Breast, back and head"
Piciformes,Picidae,Celeus,Celeus loricatus,73,50.526,21.815,28.711,0.431757907,0.568242093,917.031,546.178,1463.209,0.626725915,0.373274085,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Valle del Cauca,Anchicaya,La Batea,-76.87829,3.541271,21.9,1917,Icesi,,
Passeriformes,Pipridae,Ceratopipra,Ceratopipra erythrocephala,13,41.783,19.92,21.863,0.476748917,0.523251083,599.278,456.189,1055.467,0.567784687,0.432215313,,,0,,,,,0,,,,,0,,,,,0,,,Colombia,Antioquia,Remedios,R01,-74.57651667,6.9059,25.3,2826,Icesi,,
